task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
sympy,run_4,220.224973459,tool,26.18,17.38,34.57,22.68,18.94,15.63,13.37,9.32,2.86,16.54
sympy,run_4,230.234979368,harness,40.07,6.29,15.81,37.52,4.61,11.2,30.06,7.46,1.97,5.03
sympy,run_4,230.234979368,tool,26.83,17.17,33.7,22.97,17.73,15.97,13.54,9.43,2.86,16.35
sympy,run_4,240.245364905,harness,38.86,5.96,16.59,40.2,3.96,12.63,33.1,7.09,1.18,4.35
sympy,run_4,240.245364905,tool,27.22,17.29,33.53,22.34,17.76,15.77,13.25,9.1,2.79,16.43
sympy,run_4,250.254974295,harness,40.4,6.43,14.54,39.2,4.45,10.09,32.01,7.18,1.97,4.86
sympy,run_4,250.254974295,tool,26.23,17.41,33.91,23.17,17.96,15.96,13.96,9.21,2.96,16.46
sympy,run_4,260.259046559,harness,40.17,6.76,14.83,38.45,4.01,10.82,31.15,7.3,1.58,4.45
sympy,run_4,260.259046559,tool,26.27,17.64,33.92,22.93,17.7,16.22,13.8,9.14,2.92,16.8
sympy,run_4,267.117996696,harness,35.58,5.94,14.34,45.1,3.65,10.69,37.45,7.65,1.18,4.41
sympy,run_4,267.117996696,tool,28.55,18.04,34.18,21.29,18.31,15.88,12.65,8.65,2.61,18.35
sympy,run_5,10.010018146,harness,25.1,18.81,39.0,16.99,27.51,11.49,11.52,5.47,1.15,18.02
sympy,run_5,10.010018146,tool,29.51,18.17,32.74,20.47,16.8,15.95,12.45,8.02,2.75,17.21
sympy,run_5,20.019788642,harness,38.23,11.77,20.5,30.73,11.52,8.99,25.25,5.49,0.95,10.91
sympy,run_5,20.019788642,tool,26.37,19.48,35.92,19.06,20.1,15.82,11.16,7.91,2.78,18.64
sympy,run_5,30.029790782,harness,42.31,9.89,17.04,31.45,7.23,9.8,25.49,5.96,1.6,8.44
sympy,run_5,30.029790782,tool,25.92,19.61,33.03,23.72,17.18,15.85,15.29,8.43,2.76,18.74
sympy,run_5,40.040799219,harness,41.88,8.8,13.37,33.45,6.97,6.4,28.15,5.3,1.57,7.89
sympy,run_5,40.040799219,tool,23.97,18.7,33.7,25.49,18.31,15.39,16.23,9.26,2.54,18.09
sympy,run_5,50.050798132,harness,41.75,7.4,14.64,34.72,5.49,9.15,28.61,6.11,1.57,6.08
sympy,run_5,50.050798132,tool,24.38,18.66,34.2,24.48,18.73,15.47,15.04,9.44,2.51,18.05
sympy,run_5,60.061795259,harness,38.71,7.08,13.93,40.27,4.4,9.53,34.09,6.18,1.22,5.78
sympy,run_5,60.061795259,tool,24.99,18.47,34.47,23.95,18.8,15.67,14.87,9.09,2.53,17.85
sympy,run_5,70.072698092,harness,39.38,7.37,13.18,37.6,4.7,8.48,31.84,5.76,1.22,5.85
sympy,run_5,70.072698092,tool,25.61,18.06,33.64,23.9,17.87,15.76,15.02,8.88,2.64,17.44
sympy,run_5,80.08279354,harness,39.72,6.86,14.72,38.67,4.53,10.19,32.89,5.78,1.19,5.69
sympy,run_5,80.08279354,tool,25.39,17.9,33.95,23.71,18.26,15.69,14.4,9.32,2.67,17.28
sympy,run_5,90.09280523,harness,40.32,6.93,14.21,40.39,4.6,9.61,35.72,4.68,1.19,5.76
sympy,run_5,90.09280523,tool,24.84,17.96,33.77,24.2,18.13,15.65,15.06,9.14,2.64,17.36
sympy,run_5,100.102796,harness,34.79,6.74,14.21,49.23,4.4,9.81,41.09,8.15,1.18,5.56
sympy,run_5,100.102796,tool,25.03,17.9,33.75,24.58,18.05,15.7,15.47,9.11,2.63,17.28
sympy,run_5,110.112843539,harness,37.14,6.46,13.63,42.88,4.11,9.53,34.63,8.25,1.19,5.31
sympy,run_5,110.112843539,tool,25.09,18.05,33.9,24.01,18.13,15.78,14.94,9.07,2.64,17.4
