"fence","metric","grp","col","n","median","mean","p5","p95","max"
"harness","DRAM read (GB/s)","Java","lombok-3479",558,0.2736,0.639146594982079,0.0118,3.80036499999999,5.2245
"harness","DRAM read (GB/s)","JavaScript","babel-15649",154,0.0228,0.115201298701299,0.01059,0.29955,3.8557
"harness","DRAM read (GB/s)","JavaScript","preact-3763",117,0.0255,0.0915478632478633,0.0118,0.31172,1.7394
"harness","DRAM read (GB/s)","JavaScript","three.js-26589",347,0.1487,0.403453602305476,0.0117,1.04663,4.4979
"harness","DRAM read (GB/s)","PHP","carbon-2752",216,0.05705,0.236452314814815,0.011475,0.68055,4.078
"harness","DRAM read (GB/s)","PHP","framework-52684",138,0.02545,0.126889855072464,0.0116,0.297765,3.4329
"harness","DRAM read (GB/s)","PHP","php-cs-fixer-8064",372,0.1021,0.439140591397849,0.0118,1.782515,4.9157
"harness","DRAM read (GB/s)","PHP","phpspreadsheet-3463",187,0.05,0.18724064171123,0.0121,0.53475,3.8873
"harness","DRAM read (GB/s)","Python","astropy",1338,0.6467,1.10209835575486,0.011585,4.881765,7.1005
"harness","DRAM read (GB/s)","Python","scikit-learn",142,0.02,0.124919718309859,0.011505,0.28041,3.9376
"harness","DRAM read (GB/s)","Python","sympy",1934,0.71325,1.28290118924509,0.0118,5.431125,7.3588
"harness","DRAM read (GB/s)","Ruby","fastlane-20958",147,0.0318,0.13261156462585,0.0119,0.38118,3.0623
"harness","DRAM read (GB/s)","Ruby","fpm-1829",136,0.04495,0.147627205882353,0.0118,0.392475,3.2097
"harness","DRAM read (GB/s)","Ruby","rubocop-13560",598,0.2742,0.698854347826087,0.011785,3.665155,5.3981
"harness","DRAM read (GB/s)","Rust","axum-1730",214,0.0597,0.232031775700935,0.0117,0.819955,3.6778
"harness","DRAM read (GB/s)","Rust","bat-2835",650,0.3941,0.713237230769231,0.012,3.7494,5.7021
"harness","DRAM read (GB/s)","Rust","nushell-13831",159,0.0483,0.156099371069182,0.0114,0.38238,3.8044
"harness","DRAM read (GB/s)","Rust","ripgrep-2209",329,0.1153,0.402049240121581,0.0119,1.47355999999999,4.6728
"harness","DRAM read (GB/s)","SPEC-fp","SPEC-fp",12,2.943975,4.41757166666667,0.158384,11.8175715,12.14915
"harness","DRAM read (GB/s)","SPEC-int","SPEC-int",14,0.629265,1.21641142857143,0.024169,3.217665,3.57289
"harness","DRAM read (GB/s)","TypeScript","docusaurus-10130",174,0.04845,0.163037356321839,0.0117,0.449485,3.7646
"harness","DRAM read (GB/s)","TypeScript","docusaurus-9897",210,0.0519,0.215618095238095,0.0118,0.631819999999999,4.2096
"harness","DRAM read (GB/s)","TypeScript","immutable-js-2006",376,0.1559,0.439890957446809,0.0117,1.54835,4.7412
"harness","DSB coverage (%)","C","jq-2598",280,72.8755,63.3688182142857,36.306925,90.68136,98.1505
"harness","DSB coverage (%)","C","micropython-13039",107,44.8628,54.0165598130841,36.36952,83.29181,91.0629
"harness","DSB coverage (%)","C","redis-12272",90,47.68515,54.5794533333333,36.533075,82.46101,91.6286
"harness","DSB coverage (%)","C++","fmt-2457",875,83.3917,74.5383064,36.47633,97.98408,98.6059
"harness","DSB coverage (%)","C++","fmt-3750",236,71.7963,63.8053394067797,36.618025,91.65905,98.0415
"harness","DSB coverage (%)","C++","fmt-3901",87,45.725,52.261216091954,35.93587,80.89055,90.7951
"harness","DSB coverage (%)","C++","json-4237",277,69.521,63.0082581227437,35.9292,91.94414,98.0308
"harness","DSB coverage (%)","Go","caddy-4774",704,82.5198,72.0884678977273,36.28372,93.815405,98.4631
"harness","DSB coverage (%)","Go","gin-2121",87,38.3607,50.634408045977,36.03002,79.66813,90.1311
"harness","DSB coverage (%)","Go","hugo-12579",132,52.2814,57.2398484848485,35.983155,88.094455,97.8345
"harness","DSB coverage (%)","Go","prometheus-10720",577,81.6905,69.5273062391681,36.03858,93.73308,98.4691
"harness","DSB coverage (%)","Java","gson-1093",126,47.33005,55.4751674603175,36.082825,87.530825,97.2232
"harness","DSB coverage (%)","Java","gson-2134",99,44.9721,53.326695959596,35.59852,84.07092,94.3838
"harness","DSB coverage (%)","Java","javaparser-4538",141,52.3237,56.4097666666667,35.8468,87.5986,98.033
"harness","DSB coverage (%)","Java","lombok-3479",553,80.7224,69.2294424954792,36.0402,93.47584,98.558
"harness","DSB coverage (%)","JavaScript","babel-15649",135,48.06,55.751577037037,35.85443,85.44116,91.2736
"harness","DSB coverage (%)","JavaScript","preact-3763",109,47.5076,54.9081596330275,36.28296,84.63538,89.4314
"harness","DSB coverage (%)","JavaScript","three.js-26589",340,77.8094,66.5884470588235,36.021025,93.11811,98.1563
"harness","DSB coverage (%)","PHP","carbon-2752",223,54.225,59.1597955156951,35.85462,88.96502,97.9942
"harness","DSB coverage (%)","PHP","framework-52684",143,39.6568,54.9852643356643,36.09322,86.24973,95.6633
"harness","DSB coverage (%)","PHP","php-cs-fixer-8064",382,76.68985,65.4341908376963,36.170875,92.014185,98.3161
"harness","DSB coverage (%)","PHP","phpspreadsheet-3463",186,53.03635,58.0766317204301,35.966225,88.096775,98.0851
"harness","DSB coverage (%)","Python","astropy",1305,83.6108,76.4924233716475,36.06162,98.33842,98.8761
"harness","DSB coverage (%)","Python","scikit-learn",141,50.2256,55.6860234042553,35.8486,85.4701,96.5082
"harness","DSB coverage (%)","Python","sympy",1950,83.8939,78.6745268205128,36.50549,98.469635,99.05
"harness","DSB coverage (%)","Ruby","fastlane-20958",143,51.2817,57.7457692307692,36.00834,90.08667,91.7289
"harness","DSB coverage (%)","Ruby","fpm-1829",139,48.6064,56.997973381295,35.98182,88.03045,97.8939
"harness","DSB coverage (%)","Ruby","rubocop-13560",585,81.9107,69.5187938461538,36.54584,95.29432,98.4898
"harness","DSB coverage (%)","Rust","axum-1730",212,61.8933,61.7135349056604,36.24124,91.981425,97.9163
"harness","DSB coverage (%)","Rust","bat-2835",645,82.3467,71.734924496124,36.46184,95.86278,98.5546
"harness","DSB coverage (%)","Rust","nushell-13831",154,47.69165,57.5547077922078,36.41604,88.57255,97.9202
"harness","DSB coverage (%)","Rust","ripgrep-2209",327,77.7738,65.9218259938838,36.53109,93.79407,98.1275
"harness","DSB coverage (%)","SPEC-fp","SPEC-fp",12,95.09243,78.985945,24.239908,99.7708555,99.81155
"harness","DSB coverage (%)","SPEC-int","SPEC-int",14,81.62023,74.4098321428571,31.903794,99.554277,99.55923
"harness","DSB coverage (%)","TypeScript","docusaurus-10130",163,53.7868,59.1824147239264,36.02507,90.14231,97.3909
"harness","DSB coverage (%)","TypeScript","docusaurus-9897",199,52.95,59.1675236180904,35.94707,89.54558,98.0467
"harness","DSB coverage (%)","TypeScript","immutable-js-2006",372,79.17975,66.8274024193548,36.24318,93.24335,98.1938
"harness","IPC","C","jq-2598",286,1.67925,1.8305527972028,0.39375,3.71595,4.0632
"harness","IPC","C","micropython-13039",103,0.7587,1.34852621359223,0.3901,3.22224,3.578
"harness","IPC","C","redis-12272",96,0.8941,1.421725,0.399825,3.184425,3.4939
"harness","IPC","C++","fmt-2457",887,2.4025,2.19267553551297,0.38976,4.07811,4.4863
"harness","IPC","C++","fmt-3750",258,1.50595,1.78886046511628,0.39908,3.672555,4.0372
"harness","IPC","C++","fmt-3901",78,0.7424,1.27973717948718,0.388455,2.99819,3.2444
"harness","IPC","C++","json-4237",283,1.9067,1.95110530035336,0.39347,3.75386,4.2728
"harness","IPC","Go","caddy-4774",716,2.03475,2.10663324022346,0.393,3.92895,4.2802
"harness","IPC","Go","gin-2121",84,0.8415,1.24607619047619,0.39146,3.07048,3.3441
"harness","IPC","Go","hugo-12579",136,1.0619,1.59149411764706,0.38965,3.46455,3.6174
"harness","IPC","Go","prometheus-10720",582,1.9881,2.05217663230241,0.3917,3.893735,4.239
"harness","IPC","Java","gson-1093",127,1.0481,1.53037716535433,0.38589,3.35669,3.5446
"harness","IPC","Java","gson-2134",100,0.7996,1.385472,0.390355,3.29633,3.5415
"harness","IPC","Java","javaparser-4538",147,1.0806,1.59137551020408,0.38539,3.54858,3.7939
"harness","IPC","Java","lombok-3479",561,2.0888,2.04676844919786,0.3926,3.8546,4.158
"harness","IPC","JavaScript","babel-15649",159,0.7375,1.4985251572327,0.39745,3.43947,3.7448
"harness","IPC","JavaScript","preact-3763",118,1.23275,1.54860847457627,0.38516,3.374755,3.7001
"harness","IPC","JavaScript","three.js-26589",352,1.98685,1.97308494318182,0.391995,3.99525,4.3405
"harness","IPC","PHP","carbon-2752",222,1.38275,1.75064594594595,0.392025,3.684275,3.8523
"harness","IPC","PHP","framework-52684",139,1.3321,1.57220215827338,0.39477,3.38712,3.7267
"harness","IPC","PHP","php-cs-fixer-8064",384,1.8534,1.92108463541667,0.389615,3.811095,4.0381
"harness","IPC","PHP","phpspreadsheet-3463",186,1.16825,1.65288172043011,0.390725,3.6542,3.8585
"harness","IPC","Python","astropy",1322,2.29735,2.28036981845688,0.338605,4.1919,4.5143
"harness","IPC","Python","scikit-learn",144,0.75435,1.49905,0.38933,3.501205,3.6889
"harness","IPC","Python","sympy",1966,2.6547,2.33252751780265,0.3251,4.2493,4.6261
"harness","IPC","Ruby","fastlane-20958",140,1.1452,1.631165,0.36934,3.62693,3.8756
"harness","IPC","Ruby","fpm-1829",139,1.2799,1.59210503597122,0.40037,3.49431,3.6488
"harness","IPC","Ruby","rubocop-13560",598,2.2474,2.0845093645485,0.38937,3.791505,4.2878
"harness","IPC","Rust","axum-1730",222,1.58335,1.82103603603604,0.392905,3.757795,3.909
"harness","IPC","Rust","bat-2835",649,2.1777,2.11968613251156,0.38442,3.9998,4.2631
"harness","IPC","Rust","nushell-13831",161,1.1747,1.62276956521739,0.3885,3.5029,3.8048
"harness","IPC","Rust","ripgrep-2209",342,1.8484,1.92646111111111,0.39803,3.848415,4.2835
"harness","IPC","SPEC-fp","SPEC-fp",12,2.07036,2.16434166666667,0.978488,3.404578,3.70501
"harness","IPC","SPEC-int","SPEC-int",14,2.324435,2.41245357142857,1.4912265,3.8283325,4.15447
"harness","IPC","TypeScript","docusaurus-10130",165,1.148,1.68557757575758,0.3981,3.65988,3.9429
